address,SafeMath String,SafeMath function,add,sub1,sub2,mul,div1,div2,success analysis,error msg
0x00000000000045166c45af0fc6e4cf31d9e14b9a,True,True,1,1,0,1,1,0,True,
0x000000000000541e251335090ac5b47176af4f7e,,,0,0,0,0,0,0,True,
0x000000000000d0151e748d25b766e77efe2a6c83,True,True,1,1,0,1,1,0,True,
0x00000000000274be4365aa18cfdc9a22a947f67d,,,0,0,0,0,0,0,True,
0x0000000000062054d047a0f350ac8bb69818c683,True,True,1,1,0,1,1,0,True,
0x00000000000fe8503db73c68f1a1874eb9d86883,True,True,1,1,0,1,1,0,True,
0x00000000001e980d286be7f5f978f4cc33128202,,,0,0,0,0,0,0,True,
0x00000000002226c940b74d674b85e4be05539663,,,0,0,0,0,0,0,True,
0x000000000026750c571ce882b17016557279adaa,,,0,0,0,0,0,0,True,
0x00000000003709edea9182789f1153e59cfe849e,True,True,1,1,0,1,1,0,True,
0x000000000041d7d38b9061e1aa93f014f2f28393,,,0,0,0,0,0,0,True,
0x000000000045ef846ac1cb7fa62ca926d5701512,,,0,0,0,0,0,0,True,
0x00000000004f319450e1e1ce5e40813e7e1fe0b4,,,0,0,0,0,0,0,True,
0x00000000005330029d3de861454979d0dd8c89dc,True,True,1,1,0,1,1,0,True,
0x000000000053d1f0f8aa88b9001bec1b49445b3c,,,0,0,0,0,0,0,True,
0x000000000067503c398f4c9652530dbc4ea95c02,,,0,0,0,0,0,0,True,
0x000000000075a05df21466285a7ff8c9df5a11ed,True,True,1,1,0,1,1,0,True,
0x0000000000796dc3aa12eb9fe3b6e8f4d92cc966,,,0,0,0,0,0,0,True,
0x00000000007de1d7ce62fffeddcc1663b701e875,True,True,1,1,0,1,1,0,True,
0x0000000000861ff98a332571edd7e6ef73ab2b2b,,,0,0,0,0,0,0,True,
0x00000000008a10a98969a000d1c0aba90f858d6a,True,True,1,1,0,1,1,0,True,
0x00000000008ac532ee543e89cfc462827afb9369,True,True,1,1,0,1,1,0,True,
0x0000000000ab32e9e7bd6bd3c37a7e99fb8c2d43,,,0,0,0,0,0,0,True,
0x0000000000cccf289727c20269911159a7bf9ebd,,,0,0,0,0,0,0,True,
0x0000000000ccdfcb0aadf8e9a9b6794ce56b76eb,True,True,1,1,0,1,1,0,True,
0x0000000000dfed903ad76996fc07bf89c0127b1e,True,True,1,1,0,1,1,0,True,
0x0000000000f55ff05d0080fe17a63b16596fd59f,True,,0,0,0,0,0,0,True,
0x00000000054e5a7f91db6b7db5e91eab56fac5e4,,,0,0,0,0,0,0,True,
0x0000000006adbd7c01bc0738cdbfc3932600ad63,True,True,1,1,0,1,1,0,,"True, False or Z3 Boolean expression expected. Received unknown variable: tx.gasprice of type <class 'str'>"
0x000000000d38df53b45c5733c7b34000de0bdf52,,,0,0,0,0,0,0,True,
0x0000000010a653849f221a573e00f3a37c8c4082,,,0,0,0,0,0,0,True,
0x0000000053d300f11703dcdd1e90921db83f0048,,,0,0,0,0,0,0,True,
0x000000005bf12f10b4e7001adf7e7400e49431fa,True,True,1,1,0,1,1,0,True,
0x000000005d7065eb9716a410070ee62d51092c98,,,0,0,0,0,0,0,True,
0x000000006d00ffde550bc5eaa7c24cce36c6657d,True,True,1,1,0,1,1,0,True,
0x000000007675b5e1da008f037a0800b309e0c493,True,True,1,1,0,1,1,0,True,
0x000000008eb3d0a15fb54e6c00464ab8f55b5f8c,,,0,0,0,0,0,0,True,
0x00000000d1dbc357a3f3d0f1f934d0186ba40396,,,0,0,0,0,0,0,True,
0x00000000d750176e38660203c678d88ee7e28d36,True,True,1,1,0,1,1,0,True,
0x00000000e4474ae200cb092b5f002b598e65387e,True,True,1,1,0,1,1,0,True,
0x00000000ea0007cdab60e07437e59e9cc41c2e49,,,0,0,0,0,0,0,True,
0x00000000ea4044b4b60091836a6d47554f43a100,,,0,0,0,0,0,0,True,
0x00000000f534674c252dfe4b9834a4d62ef40015,,,0,0,0,0,0,0,True,
0x00000001008b2ff2004f00a7c8a0f48c675e5034,,,0,0,0,0,0,0,True,
0x000000028923cb780cf4f7be3396a8c96e8f408b,True,True,1,1,0,1,1,0,True,
0x000000085824f23a070c2474442ed014c0e46b58,True,True,1,1,0,1,1,0,True,
0x0000000f8ef4be2b7aed6724e893c1b674b9682d,True,True,1,1,0,1,1,0,,"True, False or Z3 Boolean expression expected. Received unknown variable: tx.gasprice of type <class 'str'>"
0x0000000fdf9eb269b38e39e058f45d7d0ddb60f9,,,0,0,0,0,0,0,True,
0x00000045cdfe2dc2623170b3d6ebaa0b446a243a,True,,0,0,0,0,0,0,,"Function not found on IR: TMP_963(None) = HIGH_LEVEL_CALL, dest:TMP_962(None), function:sub, arguments:['1']  .
Node: EXPRESSION scIndex = (stakedContractStakers[_stakedContractAddress].push(Staker(_s"
