address,SafeMath String,SafeMath function,add,sub1,sub2,mul,div1,div2,success analysis,error msg
0x7a243fbe380db691d6586ef9cf6752af3688c0bd,True,True,2,2,0,2,2,0,True,
0x7a25a46f86d176337555e52b2c312cec7f6f93a4,True,True,1,1,0,1,1,0,True,
0x7a2ab08612bd07c8bf661883e21240f49b58e944,True,True,1,1,0,1,1,0,True,
0x7a2b4708e18f3d11393b6de37cf1fe1ec7b4fd62,True,True,1,1,0,0,0,0,True,
0x7a2e89f4e0efe7ddd53a8d86c5ae0f1886715275,True,True,1,1,0,1,1,0,True,
0x7a31c8fd5ced2bd6157b9c2dc345ffd680004e9b,True,True,1,1,0,1,0,0,True,
0x7a3329e2d189ce6eff371c42af282066144bca56,True,True,1,1,0,1,1,0,True,
0x7a36bfff1c28d0dbed43f11866e0a34f60fec0f0,,,0,0,0,0,0,0,True,
0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb,,,0,0,0,0,0,0,True,
0x7a3faab02e2f8b72d6f95a094e62ab57f784b061,True,True,1,1,0,1,1,0,True,
0x7a4325cff79c28356a467b81b266c29f24fd1756,True,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xa6 in position 7844: invalid start byte
0x7a43dc30f9e9aaa8f7b9579fe132323adfd1c2df,True,True,1,1,0,1,1,0,True,
0x7a459b8a45ffc25d480ce89184cfe4ba6ddf821b,True,True,2,2,0,2,2,0,True,
0x7a467e2e803bedfbbbfcb97b4eede2a5cda12317,,,0,0,0,0,0,0,True,
0x7a4803078e262c661a907908e5009db8fd3c34ca,True,True,1,1,0,1,1,0,True,
0x7a4821bc36010ac4762908abcde96423d417ea9f,True,True,1,1,0,1,1,0,True,
0x7a4eea93d85bbcbec6ab6e0f82e6a962b0fdcefa,,,0,0,0,0,0,0,True,
0x7a4fdc00d15fcf28dbda2254d7537d5f48e29dc5,True,True,1,1,0,2,1,0,True,
0x7a5918670b0c390ad25f7bee908c1acc2d314a3c,,True,4,3,0,3,0,0,True,
0x7a597ba04a6f456f7778935811f765ba41ab5bd7,,,0,0,0,0,0,0,True,
0x7a647637e75d34a7798ba06bd1adf5c084bb5dd5,True,True,1,1,0,1,1,0,True,
0x7a67405de794b3b6ffc6222c47febc4d6432c58c,True,True,1,1,0,0,0,0,True,
0x7a678ebf122e7fca605e19517072ee335ac148f2,True,True,2,2,0,2,2,0,True,
0x7a6cd91e7c64eef1637c961abc6c6c70f012a210,,,0,0,0,0,0,0,True,
0x7a6d429c39315d9d8cd5b2c73fc8dd34c1f95def,True,True,1,1,0,1,1,0,True,
0x7a6d7959861ece56f93335cfd6fe0c5c2c961b6e,True,True,1,1,0,1,1,0,True,
0x7a712ccf2875eb0cc807dfe7a337c2099f24195c,True,True,1,1,0,1,1,0,True,
0x7a75aa506757d86d16a93bae7175b0607a16bf99,,,0,0,0,0,0,0,True,
0x7a76f18f22b7a1fc62bead0368e4e8c7c0f652a0,True,True,1,1,0,1,1,0,True,
0x7a7a38f9e7cac2d72555e7718a50e54b4f0ccb3d,True,True,1,1,0,1,1,0,True,
0x7a7b4d3c97e66456fa12de213a4999d046fa4b89,True,True,1,1,0,1,1,0,True,
0x7a7d31ea0d722897d4b01a3e0b7648e3c47a222d,True,True,1,1,0,1,1,0,True,
0x7a7d58c01613524153c39b57c5c27cd399322c56,,,0,0,0,0,0,0,True,
0x7a85868b022de89accb90d5616b79d2b10c77bbb,,,0,0,0,0,0,0,True,
0x7a87acb1f92c50297239ef9b0ef9387105bd4fc5,,,0,0,0,0,0,0,True,
0x7a8917a4fc97ced82761236472162e5344b4e87b,True,True,1,1,0,1,1,0,True,
0x7a8a9d7752a178ed1e5722ebfc746155b7cfe3cd,True,True,1,1,0,1,1,0,True,
0x7a8b95ea91db7bf53fe1f341dd9dc0f285a65f6f,,,0,0,0,0,0,0,True,
0x7a8f2ec8218a7a9b66eec168d9008f63e8f43ff2,True,True,2,2,0,2,2,0,True,
0x7a925f91a4583e87b355f6ce15b2c3bf26e3449f,,,0,0,0,0,0,0,True,
0x7a939bb714fd2a48ebeb1e495aa9aaa74ba9fa68,True,True,1,1,0,1,1,0,True,
0x7a970d7859bc912dd5aed001efb4256ee3be648c,True,True,1,1,0,1,1,0,True,
0x7a98b6aef8ac099e3def72b5da3da102c0ebe1a0,True,True,1,1,0,1,1,0,True,
0x7a99923aa2efa71178bb11294349ec1f6b23a814,True,True,1,1,0,1,1,0,True,
0x7a9cd9872479521b7fee3c870f061eb33890ea74,True,True,1,0,0,1,1,0,True,
