address,SafeMath String,SafeMath function,add,sub1,sub2,mul,div1,div2,success analysis,error msg
0x0000000000027f6d87be8ade118d9ee56767d993,,,0,0,0,0,0,0,True,
0x0000000000075efbee23fe2de1bd0b7690883cc9,,,0,0,0,0,0,0,True,
0x000000000009546b5e66182fa242f1aa669a5051,,,0,0,0,0,0,0,True,
0x00000000000da14c27c155bb7c1ac9bd7519eb3b,,,0,0,0,0,0,0,True,
0x0000000000b3f879cb30fe243b4dfee438691c04,,,0,0,0,0,0,0,True,
0x000000002647e16d9bab9e46604d75591d289277,,,0,0,0,0,0,0,True,
0x000000002bb43c83ece652d161ad0fa862129a2c,,,0,0,0,0,0,0,True,
0x00000000441378008ea67f4284a57932b1c000a5,,,0,0,0,0,0,0,True,
0x000000005fbe2cc9b1b684ec445caf176042348e,,,0,0,0,0,0,0,True,
0x00000000bbcf7700a1b403c9eb666f350707b900,,,0,0,0,0,0,0,True,
0x00000000e86b5156e8fd624255bf7a6d722a8f1f,True,True,1,1,0,0,0,0,True,
0x00000007b0390fc9ca72f534366f5c02d5af5334,True,True,1,1,0,1,1,0,True,
0x0000000a9e27410f13dd4818488bf1e706c9a2fe,True,True,1,1,0,1,1,0,True,
0x000000931cf36c464623bb0eefb6b0c205338d67,True,True,1,1,0,1,1,0,True,
0x000000961d1ac83a67d0ce61612b36f18c10c9b7,True,True,1,1,0,0,0,0,True,
0x0000009a317684a5f840484357fa587aca76454c,True,True,1,1,0,1,1,0,True,
0x000000c96e715a5b8cd3beaea66bdb749225fa2f,True,True,1,1,0,1,1,0,True,
0x000000d4e883e304c7f9574ebeecf238eb55a40f,True,True,1,1,0,0,0,0,True,
0x000000eade0fe9269d0412a6055b6f3c5d968488,,,0,0,0,0,0,0,True,
0x0000010d23ccfee520c3fb5a5ba9679cb9d83cbe,,True,1,1,0,1,0,0,True,
0x000003ed2eb44cded8ade31c01dda60da466b2d1,,,0,0,0,0,0,0,True,
0x00000b233566fcc3825f94d68d4fc410f8cb2300,True,True,1,1,0,1,1,0,True,
0x00005cad001e0900002979f7314d00fc480a29bd,,,0,0,0,0,0,0,True,
0x0000610024bae4de00eb00ee7ee8321e4cc900b9,,,0,0,0,0,0,0,True,
0x0000852600ceb001e08e00bc008be620d60031f2,,,0,0,0,0,0,0,True,
0x0000eee4cbada79cf378e011fbd8b377fedd04a5,True,True,1,1,0,1,1,0,True,
0x0002325fcaaac6ebf1254a626589147bde1a2394,True,True,1,1,0,1,1,0,True,
0x00035ee9a525989c8d566828f20fd1179627602f,True,True,1,1,0,1,1,0,True,
0x00059ae69c1622a7542edc15e8d17b060fe307b6,True,True,1,1,0,1,1,0,True,
0x0006157838d5a6b33ab66588a6a693a57c869999,,,0,0,0,0,0,0,True,
0x000621424c60951cb69e9d75d64b79813846d498,True,True,1,1,0,1,1,0,True,
0x000983ba1a675327f0940b56c2d49cd9c042dfbf,True,True,1,1,0,1,1,0,True,
0x000b3816ca2d890212d70188a645cf740af3da0e,,,0,0,0,0,0,0,True,
0x000d2d31815990fca6f69dfd978c4d4a56b2ed6b,,,0,0,0,0,0,0,True,
0x000f8f7ea505b900ce70cb73a9357e2846e99072,True,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xba in position 10447: invalid start byte
0x000ff9191a4b7e14c9a083a30c93edcd9a794087,True,True,2,2,0,2,2,0,True,
0x00125893df6ca0792c99601c462764ba5d80268a,,,0,0,0,0,0,0,True,
0x00138bd67465733ae1bedfd2105a6ffa83af97d8,True,True,1,1,0,1,1,0,True,
0x0013d3b508a23feeeca45c4c62cc88966fb71aed,True,True,1,1,0,1,1,0,True,
0x0014966c7439d8c10aaf0204036198236d9b0912,True,True,1,1,0,1,1,0,True,
0x001575786dfa7b9d9d1324ec308785738f80a951,True,True,0,3,0,0,0,0,True,
0x0016e71c7ced04b51a1fd8bb5c36d9e0cee9e1bb,True,True,1,1,0,1,1,0,True,
0x0017a04a2e182376235530d501bc3fbe7ca07a5b,True,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xd5 in position 4560: invalid continuation byte
0x001a8bc48ec9e4d2e33de3a31e1b8dc5aa56b4a1,True,True,2,2,0,2,2,0,True,
0x001b22d44e1b8edf01c1bccd08bb99e2e6198092,True,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xa7 in position 801: invalid start byte
0x001b6e5c7322899355eb65486e8cbb7dbbf19127,,,0,0,0,0,0,0,True,
0x001ea8150f4965195e10e5b5568047e1555a6dcd,True,True,1,1,0,1,1,0,True,
0x001f0aa5da15585e5b2305dbab2bac425ea71007,True,True,1,1,0,1,1,0,True,
0x001f52daa8a4f7b9b26da16baf449c0d270dbe63,True,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xa1 in position 802: invalid start byte
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,,,0,0,0,0,0,0,True,
0x001fc4a7f2f586596308091c7b296d4535a25a90,True,True,2,2,0,2,2,0,True,
0x002036ed3d00736787a31a19b1e28f7a86c72672,,,0,0,0,0,0,0,True,
0x0020c438f90e635ea0f3d05ba30db61c6812e256,True,True,2,2,0,2,2,0,True,
0x00214120d3469a74ca586bc9557c0ff8fb09b157,True,True,1,1,0,1,1,0,True,
0x00223f71b749b8754963c41cba62cb61ef106e9c,,,0,0,0,0,0,0,True,
0x00224d9084fd7cdb4a5ce7740cb1ca0dca6be7a6,,,0,0,0,0,0,0,True,
0x0022ee765799c1f836a36612b8c62be098fd0bbb,,,0,0,0,0,0,0,True,
0x002329192014563890ffb66b483c29dd6607c419,True,True,2,2,0,2,2,0,True,
0x0025336944da9e6c4554f350d1e133b107845fd3,,,0,0,0,0,0,0,True,
