address,SafeMath String,SafeMath function,add,sub1,sub2,mul,div1,div2,success analysis,error msg
0x573647a8334b39161261f354eaf7124585b5b666,,,0,0,0,0,0,0,True,
0x5736889fd9702ba127555b745457ea152476e93e,True,True,1,1,0,1,1,0,True,
0x5736fae50bb0baa203c787a9dbbc323589fe4edf,True,True,1,1,0,1,1,0,True,
0x5737d853fbe03bd20790c38c849537e4177694fe,True,True,2,2,0,2,2,0,True,
0x573a4109120beab28d5e5f540bf33d4981562662,,,0,0,0,0,0,0,True,
0x573a9a3384a21fb4e1d1f18c6f90efb8dc947fa3,True,True,2,2,0,2,2,0,True,
0x573be8873cc39149e71b92918e73634acb3c54d5,True,True,2,2,0,2,2,0,True,
0x573cb869ecdee3063b7addaf26b83f7df8aae71b,True,,0,0,0,0,0,0,,unhashable type: 'list'
0x573db28be1fce18fb46fbc49d23204daf7e7589c,True,True,1,1,0,1,1,0,True,
0x573e869ca9355299cddb3a912d444f137ded397c,True,True,1,1,0,1,1,0,True,
0x573fc3de46b73753646235f780a2cdb9376a70df,True,True,1,1,0,1,1,0,True,
0x574084ed72839b4acefad246368a89d5c7aa5163,True,True,2,2,0,2,2,0,True,
0x57409c375540bd4a29d64431e1e0b74ba7e12b6a,,,0,0,0,0,0,0,True,
0x574184339c6e89fa013905b53f6e5ab0bfee83a8,True,True,1,1,0,1,1,0,True,
0x5741b2f896f0128d107d74ea78a3385230984128,True,True,1,1,0,1,1,0,True,
0x5744155b0891e09b36d871daf35c04a0f0ef4b9c,,,0,0,0,0,0,0,True,
0x5745b21f6365b379451f2f327274812d7a5d3d0d,,,0,0,0,0,0,0,True,
0x5745cd2fd0538275fa321d9d067e40899a4d235a,,,0,0,0,0,0,0,True,
0x57488fcc3dc72edb0a4c06a356c2c43c08bdfb42,True,True,2,2,0,2,2,0,True,
0x5748a3f36329ca187a2c6aba0e06379cb530a7cf,,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xd7 in position 137: invalid continuation byte
0x574a4292c9d910b0b280f542f1f88c5389df56cf,True,True,2,2,0,2,2,0,True,
0x574a6f22f98b6f32a3d570f9dff73a44651dae05,,,0,0,0,0,0,0,True,
0x574b5b500517ccad92c78573c7daf8be8cc0de19,True,True,2,2,0,2,2,0,True,
0x574b783c29990a0c78d278c9cd7abe673cc58b1f,True,True,1,1,0,1,1,0,True,
