address,SafeMath String,SafeMath function,add,sub1,sub2,mul,div1,div2,success analysis,error msg
0x04220cb64879a6196b5d57e7f54663b7e0136b41,True,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xa8 in position 75: invalid start byte
0x043659e4db135d2b46b41a611ab67eb4d5979ae6,True,True,1,1,0,1,1,0,True,
0x04460ea5a3a69140533676d4bb232717c6b3381b,,True,11,11,0,11,0,0,True,
0x0448da445a2ed1262890b42fb6d578c59ec470d5,True,True,1,1,0,1,1,0,True,
0x0463d4fbe3823bde3278d5bac8cf19f608d1e648,True,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xa1 in position 11883: invalid start byte
0x04705b497c48df4f863b313722a82c51d2167abb,True,True,1,1,0,1,1,0,True,
0x04788562ab11ea3a5201d579e2b3ee7a3f74f1fa,True,True,1,1,0,1,1,0,True,
0x047cd8e430f83ec7425dc4ae0dac0a095e5f770e,True,True,1,1,0,1,0,0,True,
0x04834947b0fb6b0db8483929d7ab512a1599ddf8,True,True,1,1,0,1,1,0,True,
0x0487ac46bd41f4b734e08eab479330e3bd9b6cf5,True,True,1,1,0,1,1,0,True,
0x0488a7b65e8a07db4642a1cbe75434b4c4524026,,,0,0,0,0,0,0,True,
0x048adbd6fbbae6b10a698bad565297742ae129d0,True,True,1,1,0,1,1,0,True,
0x0492e0c2084089b0917554b376fcdcf6e23b6520,True,True,1,1,0,1,1,0,True,
0x04db2e5208dfab814c701280e24a4375e6329b6d,,,0,0,0,0,0,0,True,
0x04f0e00a8f40233bb299d473f20d4f277ab58a6c,True,True,2,2,0,2,2,0,True,
0x04f2694c8fcee23e8fd0dfea1d4f5bb8c352111f,True,True,1,1,0,1,1,0,,maximum recursion depth exceeded in comparison
0x04f935d75f1129dabeef3c0a44ce18914fbbbf42,True,True,1,1,0,1,1,0,True,
0x05057637bdc43815a29a4b93cb760ad3c7d590e7,True,True,1,1,0,1,0,0,True,
0x0512f7e0ccb78d47bee9d494a6320373e1305dc0,True,True,1,1,0,1,1,0,True,
0x0522593cfbf89de903f7054c468d8b842f323636,True,True,1,1,0,1,1,0,True,
0x053449023313a67b0ea179ae2c4acd65afdaa729,True,True,1,1,0,1,1,0,,maximum recursion depth exceeded in comparison
0x0540912a921e8e4a212beb8db94ff44ce0b0aeb8,True,True,1,1,0,1,1,0,True,
0x054c6ee336745037c04a2f92308a38286d2cd589,,,0,0,0,0,0,0,True,
0x055cedebe609c24edd7c2bae38cda587b3cbfe0f,True,True,1,1,0,1,1,0,True,
0x05658a207a56aa2d6b2821883d373f59ac6a2fc3,,,0,0,0,0,0,0,True,
0x059ca23eff4e608b7e1ceb1aa62234c6ebcc294d,True,True,1,1,0,1,1,0,True,
0x059dd13176d86d8c80bf44b25781b0e4cfa4a348,True,True,1,1,0,1,1,0,True,
0x059ffafdc6ef594230de44f824e2bd0a51ca5ded,,,0,0,0,0,0,0,True,
0x05a4909d737d0a6433335504d25536e12f65a4e5,True,True,1,1,0,1,1,0,True,
0x05b632df5864427fbd0f1dd18e9febee7060a0af,,,0,0,0,0,0,0,True,
0x05c0a2d446af8692620ec464084afee9d1470914,True,True,1,1,0,1,1,0,True,
0x05c963646bad7ebc95c22bdc4b9e97e1d83d3d91,True,True,1,1,0,1,1,0,True,
0x05dae56df5d37c6bb94fecdb56dd7176eb8d7fff,True,True,1,1,0,1,1,0,True,
0x05f6bb6b96ca657a3666d2f1bca302b999a671b4,True,True,1,1,0,1,0,0,True,
0x05fbbb3c4819d544df65057ea04172976809c578,True,True,1,1,0,1,1,0,True,
0x0602b0fad4d305b2c670808dd9f77b0a68e36c5b,True,True,1,1,0,1,1,0,True,
0x0604f2781ef5712130af4d941cb79257513d1693,True,True,1,1,0,1,1,0,True,
0x061e36c6be13a1260901271346521d43fdbddbaf,True,True,1,1,0,1,1,0,True,
0x0629056846681d820728653fe0916cb2e80ff4dd,,,0,0,0,0,0,0,True,
0x0642a3a57112d298d55e1a8412ddd3678e325422,True,True,1,1,0,1,1,0,True,
0x06589479a31f826410bbd6d43410e7ff2d8eb1b0,True,True,1,1,0,1,1,0,True,
0x0666bc06fc0c4a1efc27557e7effc7bd91a1e671,True,True,1,1,0,1,1,0,True,
0x06677dc4fe12d3ba3c7ccfd0df8cd45e4d4095bf,True,True,1,1,0,1,1,0,True,
0x067a0ff6365e643e985926722a087cbb5bd02ebb,True,True,1,1,0,1,1,0,True,
0x0680bb04c9b9d747dcc2a0e88d478ef6c96684d4,,,0,0,0,0,0,0,True,
0x06843e4b350a04f6722b792e2cd49f570dc50315,True,True,1,1,0,1,1,0,,maximum recursion depth exceeded in comparison
0x0685a3a451f21d0d864c60c12efe6d74db552d08,,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xa6 in position 180: invalid start byte
0x069c045c325482a28f06e7f2fc1c02a1aab81a68,True,True,1,1,0,1,1,0,True,
0x06a9e669167cd679a3af6724e1871f7d7caa8b2e,True,True,1,1,0,1,1,0,True,
0x06bf1daaadb1b3a271c745c643ed30854e0df973,True,True,1,1,0,1,1,0,True,
0x06e67903b6cbad24c131a57eff68b14512d933de,True,True,1,1,0,1,1,0,True,
0x06f6d48c03179767f1dea996c74ee885c439d7da,True,True,1,1,0,1,0,0,True,
0x06fc02b08ca9712f4111b8956b6ca605c934b2ab,True,True,1,1,0,1,1,0,True,
