address,SafeMath String,SafeMath function,add,sub1,sub2,mul,div1,div2,success analysis,error msg
0x00000000064ecc11c97ac4a5551f279532bf9e0d,,,0,0,0,0,0,0,True,
0x000000000ca5171087c18fb271ca844a2370fc0a,True,True,1,1,0,1,1,0,True,
0x00000000219ab540356cbb839cbe05303d7705fa,,,0,0,0,0,0,0,,'utf-8' codec can't decode byte 0xa9 in position 74: invalid start byte
0x0002dc3f7ed6fd8cdd283a72017353c0ee97cb0b,True,True,1,1,0,1,1,0,True,
0x0006c68ed5dfe993376dd96dc871177fdc1ccf32,True,True,1,1,0,1,1,0,True,
0x0008557b1d87a622ec73a2ae1969548cf6810f79,True,True,1,1,0,1,1,0,True,
0x0008e939b9355e1ff4b4f19e1f04bbb7f9bfcc3e,True,True,1,1,0,1,1,0,True,
0x0009c715329f0e34c4484b6e8bf0a1a691ed81d1,,,0,0,0,0,0,0,True,
0x000a3f282f082aa9cf95271a97a0515b652daa6b,True,True,2,2,0,2,2,0,True,
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,True,True,1,1,0,1,1,0,True,
0x00108a984a2577c8923ffd93ab1d33de5e9095a6,True,True,1,1,0,1,1,0,True,
0x0018e66a1dea81fdd767cbb15673119b034b5cf2,,,0,0,0,0,0,0,True,
0x0019a8860fa173d40831d03dd2e668cfc6a59f35,True,True,1,1,0,1,1,0,True,
0x001e8e03583832d3932826160ddd20c6e3b25887,True,True,1,1,0,1,1,0,True,
0x001f751cdfee02e2f0714831be2f8384db0f71a2,True,True,1,1,0,1,1,0,True,
0x0021c5f6bc6647e2b1387464b976db9f78ce3f55,True,True,1,1,0,0,0,0,True,
0x0021dc34eec3fb8b1e34b5ec812c342d0352ee4d,True,True,1,1,0,1,1,0,True,
0x0027cbade7726996c950d6ff0987e7b94549485e,True,True,1,1,0,1,1,0,True,
0x00371fb3b17a13b9591fd135026367e9d2a6c33e,True,True,1,1,0,1,1,0,True,
0x003b62aa2d510e983a46b3b3308664faeaaaed2e,True,True,1,1,0,1,1,0,True,
0x003e0af2916e598fa5ea5cb2da4edfda9aed9fde,True,True,1,1,0,1,1,0,True,
0x003e523dfb5d91e508745256603d222891e65828,,,0,0,0,0,0,0,True,
0x003ee81e1dae7d6ff964c604e6381fe4664e768f,True,True,1,1,0,1,1,0,True,
0x0040da8480b899f555ab6904f574e0c54b31386b,True,True,1,1,0,1,1,0,True,
